cat,bio1,bio12,CTI_1K,ELEV_1K,EVI_mask_1,EVIM_1K,M13RB1ALT,M13RB2ALT,M13RB3ALT,M13RB7ALT,NPP_Mean_1,RELIEF_1K,SLOPE_1K,lstday,lstnight,coords.x1,coords.x2
481,284,847,14.50538,219,1,2348,1517,3037,746,2670,1238.179321,58,0,312,294,-1999242.71082021,779471.215397733
482,284,863,13.119085,196,1,2485,1099,2567,566,1848,14066.404297,7,1,312,293,-2024438.35220622,759453.126386674
483,280,777,14.892468,313,1,2751,1538,3303,821,2694,1395.572266,8,1,311,293,-2153363.97852799,834177.260797709
484,286,862,14.269734,179,1,2817,1026,2670,544,1746,4518.555664,9,1,311,292,-2029991.38095103,757287.051680071
485,282,870,14.207225,232,1,2727,1206,2849,641,2092,979.291138,15,1,311,293,-2039048.72786889,755508.071077657
486,284,873,12.914786,198,1,2511,1011,2453,551,1761,18597.826172,8,1,312,293,-2057125.68237944,742935.791984457
487,276,926,13.157597,341,1,3132,1029,2854,574,1866,1262.565186,11,1,309,292,-2384201.01505766,739309.541288569
488,284,904,13.334081,181,1,2838,976,2593,543,1614,1813.411743,10,1,310,293,-2079037.03957622,716230.019424026
489,285,905,14.027228,164,1,2765,1166,2789,631,2092,1934.322266,6,0,311,293,-2077216.64872309,712790.995234059
490,286,894,15.312682,147,1,2681,951,2463,524,1539,1665.394043,5,0,310,293,-2069228.11673152,711366.704731514
491,283,896,13.357577,208,1,2834,1140,2814,628,2089,28490.794922,10,1,312,293,-2092115.3351063,729518.409133203
492,284,893,17.509907,195,1,2291,1237,2600,655,2220,1707.609009,11,1,314,294,-2107998.69364107,732359.461349046
493,282,866,14.901793,243,1,2497,1055,2504,560,1749,34087.625,11,1,312,293,-2115737.70923046,761873.973505979
494,280,741,13.864269,302,1,2508,1619,3296,768,2560,1326.211792,11,0,312,293,-2124505.94542636,846794.109313102
495,283,865,13.995999,231,1,2448,1068,2490,561,1718,19819.150391,8,1,311,293,-2115181.13035536,759497.327444583
496,282,859,21.130772,233,1,2739,1018,2602,552,1643,29299.525391,10,1,312,294,-2114162.73726698,767366.232343047
497,282,855,12.882062,247,1,2426,994,2400,531,1641,1645.97583,11,1,311,293,-2114266.30038642,772752.564122493
498,282,854,14.783492,256,1,2532,1076,2562,565,1819,6537.789062,10,1,312,294,-2115544.05606939,777053.389664461
499,280,845,13.546654,280,1,2348,1438,2929,720,2443,16662.283203,10,1,313,293,-2119081.44879987,792481.995966371
500,278,838,13.325829,321,1,2729,1382,3094,714,2403,1470.653687,10,1,311,293,-2132543.82395856,808626.341223501
